# Date:     2025-02-15 20:36:50
# Database: ocvs
# Target:   lmc_rrlyr
# Query:    (type='RRab') 
# Objects:  29151
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-RRLYR-00001	RRab	66.939375	-70.720000	18.772	19.455	0.683	0.63475210	0.00000100	6000.13200	0.533	0.545	4.395	0.351	2.747
OGLE-LMC-RRLYR-00002	RRab	66.993540	-70.183167	18.844	19.472	0.628	0.62551790	0.00000260	6000.20402	0.311	0.447	4.738	0.206	3.168
OGLE-LMC-RRLYR-00003	RRab	67.035420	-70.356333	18.649	19.306	0.657	0.65649710	0.00000140	6000.11424	0.412	0.446	4.523	0.322	2.953
OGLE-LMC-RRLYR-00004	RRab	67.080465	-70.370000	18.808	19.340	0.532	0.51238430	0.00000160	6000.02014	0.598	0.420	4.098	0.194	2.098
OGLE-LMC-RRLYR-00005	RRab	67.087755	-70.148472	18.942	19.613	0.671	0.64335190	0.00000340	6000.18740	0.246	0.340	4.663	0.148	3.103
OGLE-LMC-RRLYR-00006	RRab	67.117410	-70.695667	18.766	19.458	0.692	0.60001920	0.00000140	6000.19342	0.469	0.481	4.334	0.346	2.740
OGLE-LMC-RRLYR-00007	RRab	67.161795	-70.472194	18.866	19.482	0.616	0.55285610	0.00000120	6000.51544	0.643	0.397	4.063	0.334	1.883
OGLE-LMC-RRLYR-00008	RRab	67.240755	-70.287944	18.674	19.394	0.720	0.78771520	0.00000310	6000.77369	0.331	0.381	4.884	0.249	3.589
OGLE-LMC-RRLYR-00010	RRab	67.331130	-70.690028	18.813	19.472	0.659	0.59407430	0.00000160	6000.22061	0.408	0.434	4.417	0.326	2.837
OGLE-LMC-RRLYR-00011	RRab	67.341705	-70.663806	18.878	19.499	0.621	0.55357540	0.00000140	6000.01902	0.508	0.417	4.260	0.295	2.477
OGLE-LMC-RRLYR-00012	RRab	67.354125	-69.844028	18.695	19.328	0.633	0.60956210	0.00000300	6000.48251	0.362	0.339	4.124	0.174	2.363
OGLE-LMC-RRLYR-00014	RRab	67.415040	-70.129806	18.954	19.660	0.706	0.63949310	0.00000370	6000.00659	0.243	0.320	4.885	0.164	3.277
OGLE-LMC-RRLYR-00016	RRab	67.443045	-70.145528	19.028	19.696	0.668	0.59839110	0.00000130	6000.01842	0.489	0.466	4.318	0.357	2.759
OGLE-LMC-RRLYR-00017	RRab	67.455705	-70.184056	18.863	19.448	0.585	0.57596490	0.00000190	6000.51362	0.478	0.422	4.183	0.223	2.407
OGLE-LMC-RRLYR-00018	RRab	67.472415	-70.673611	18.599	19.192	0.593	0.64169590	0.00000080	6000.63803	0.726	0.535	4.289	0.372	2.575
OGLE-LMC-RRLYR-00019	RRab	67.493040	-70.185250	19.237	19.754	0.517	0.42523210	0.00000090	6000.21967	0.631	0.406	4.003	0.217	2.028
OGLE-LMC-RRLYR-00022	RRab	67.576920	-69.520722	18.801	19.363	0.562	0.51523440	0.00000070	6000.41185	0.791	0.441	4.185	0.388	2.012
OGLE-LMC-RRLYR-00023	RRab	67.610415	-70.172333	18.956	19.494	0.538	0.54603300	0.00000070	6000.47939	0.778	0.444	4.138	0.371	2.156
OGLE-LMC-RRLYR-00024	RRab	67.612830	-70.063056	18.799	19.464	0.665	0.57338620	0.00000300	6000.53375	0.420	0.350	4.405	0.153	2.585
OGLE-LMC-RRLYR-00025	RRab	67.617210	-69.865639	18.783	19.409	0.626	0.60011440	0.00000230	6000.24986	0.476	0.462	4.294	0.326	2.741
OGLE-LMC-RRLYR-00026	RRab	67.618965	-70.099556	18.817	19.424	0.607	0.63347830	0.00000130	6000.40413	0.568	0.515	4.552	0.351	2.902
OGLE-LMC-RRLYR-00027	RRab	67.674165	-70.118833	18.502	19.184	0.682	0.79388210	0.00000300	6000.51991	0.377	0.433	4.736	0.264	3.648
OGLE-LMC-RRLYR-00028	RRab	67.679340	-69.385472	18.969	19.611	0.642	0.58336420	0.00000110	6000.09751	0.550	0.436	4.416	0.340	2.766
OGLE-LMC-RRLYR-00030	RRab	67.697460	-70.512861	18.656	19.253	0.597	0.67329600	0.00000300	6000.63657	0.519	0.438	4.279	0.288	2.256
OGLE-LMC-RRLYR-00031	RRab	67.705380	-70.472139	18.871	19.511	0.640	0.63797590	0.00000710	6000.00084	0.124	0.000	-99.99	0.000	-99.99
OGLE-LMC-RRLYR-00033	RRab	67.737585	-70.540806	18.994	19.550	0.556	0.47265730	0.00000050	6000.33106	0.848	0.476	4.112	0.355	2.040
OGLE-LMC-RRLYR-00034	RRab	67.760505	-69.730250	18.858	19.616	0.758	0.50000820	0.00000130	6000.45291	0.650	0.429	4.179	0.278	2.088
OGLE-LMC-RRLYR-00036	RRab	67.794285	-70.123222	18.917	19.563	0.646	0.60932990	0.00000200	6000.28562	0.369	0.406	4.449	0.268	3.071
OGLE-LMC-RRLYR-00037	RRab	67.816710	-69.827167	18.747	19.439	0.692	0.67058680	0.00000400	6000.09621	0.268	0.357	4.367	0.173	2.984
OGLE-LMC-RRLYR-00039	RRab	67.847670	-69.730306	18.870	19.499	0.629	0.62129860	0.00000150	6000.58574	0.435	0.475	4.429	0.301	2.805
OGLE-LMC-RRLYR-00040	RRab	67.860375	-70.220722	19.037	-99.99	-99.99	0.62028990	0.00000150	6000.13211	0.359	0.442	4.802	0.000	-99.99
OGLE-LMC-RRLYR-00041	RRab	67.871040	-70.485972	18.907	19.542	0.635	0.62656050	0.00000240	6000.06033	0.344	0.443	4.491	0.252	2.936
OGLE-LMC-RRLYR-00043	RRab	67.897170	-70.031444	18.885	19.463	0.578	0.56265430	0.00000220	6000.14498	0.451	0.365	4.121	0.227	2.118
OGLE-LMC-RRLYR-00044	RRab	67.904910	-68.858278	18.798	19.428	0.630	0.63913250	0.00000310	6000.48541	0.257	0.305	4.716	0.166	3.532
OGLE-LMC-RRLYR-00045	RRab	67.923660	-69.910972	18.852	19.519	0.667	0.58648530	0.00000150	6000.34699	0.614	0.561	4.248	0.339	2.622
OGLE-LMC-RRLYR-00047	RRab	67.939500	-70.000583	19.015	19.584	0.569	0.47947960	0.00000050	6000.22269	0.799	0.500	4.169	0.344	2.200
OGLE-LMC-RRLYR-00048	RRab	67.956585	-69.573361	18.887	19.388	0.501	0.49973370	0.00000100	6000.31641	0.637	0.409	3.984	0.255	1.745
OGLE-LMC-RRLYR-00049	RRab	67.969335	-68.767361	18.990	19.513	0.523	0.48158910	0.00000040	6000.42529	0.820	0.468	4.120	0.336	1.959
OGLE-LMC-RRLYR-00050	RRab	67.988955	-69.142694	18.980	19.586	0.606	0.56478710	0.00000080	6000.32516	0.612	0.443	4.126	0.346	2.432
OGLE-LMC-RRLYR-00051	RRab	67.990335	-69.046639	18.918	19.518	0.600	0.55102550	0.00000130	6000.19076	0.669	0.445	4.149	0.341	2.097
OGLE-LMC-RRLYR-00056	RRab	68.017710	-70.554444	18.991	19.509	0.518	0.51585820	0.00000070	6000.09367	0.743	0.503	4.140	0.392	2.363
OGLE-LMC-RRLYR-00057	RRab	68.049795	-70.490250	18.705	19.389	0.684	0.68980530	0.00000230	6000.01794	0.402	0.419	4.417	0.300	2.712
OGLE-LMC-RRLYR-00058	RRab	68.060670	-70.137083	19.026	19.654	0.628	0.58590150	0.00000340	6000.39471	0.420	0.395	4.352	0.228	2.598
OGLE-LMC-RRLYR-00059	RRab	68.072250	-70.712444	18.965	19.557	0.592	0.52844500	0.00000060	6000.03319	0.754	0.461	4.190	0.346	2.204
OGLE-LMC-RRLYR-00060	RRab	68.103465	-68.925417	19.010	19.560	0.550	0.46600850	0.00000040	6000.12686	0.852	0.489	4.014	0.351	1.912
OGLE-LMC-RRLYR-00061	RRab	68.114085	-68.684889	18.847	19.355	0.508	0.50383760	0.00000050	6000.06671	0.850	0.419	4.077	0.356	1.745
OGLE-LMC-RRLYR-00062	RRab	68.133495	-68.551417	18.920	19.566	0.646	0.61469550	0.00000250	6000.24170	0.331	0.386	4.610	0.235	3.384
OGLE-LMC-RRLYR-00064	RRab	68.148915	-70.182833	18.753	19.422	0.669	0.61859460	0.00000190	6000.32260	0.370	0.406	4.496	0.277	2.911
OGLE-LMC-RRLYR-00066	RRab	68.152005	-69.124111	18.735	19.384	0.649	0.63141860	0.00000280	6000.55579	0.298	0.387	4.720	0.197	3.061
OGLE-LMC-RRLYR-00068	RRab	68.175330	-69.368583	18.872	19.328	0.456	0.55138660	0.00000110	6000.42771	0.675	0.413	4.084	0.353	2.190
OGLE-LMC-RRLYR-00069	RRab	68.177790	-70.714917	18.867	19.431	0.564	0.50475160	0.00000070	6000.02216	0.676	0.458	4.110	0.268	2.066
OGLE-LMC-RRLYR-00070	RRab	68.181255	-69.291222	18.978	19.495	0.517	0.53548920	0.00000130	6000.40570	0.513	0.363	4.269	0.247	2.310
OGLE-LMC-RRLYR-00071	RRab	68.190660	-70.127556	18.853	19.364	0.511	0.55531310	0.00000080	6000.41983	0.602	0.504	4.414	0.335	2.750
OGLE-LMC-RRLYR-00072	RRab	68.200995	-70.578028	18.879	19.549	0.670	0.62617420	0.00000200	6000.58137	0.394	0.410	4.537	0.268	3.044
OGLE-LMC-RRLYR-00073	RRab	68.201295	-69.370833	18.817	19.463	0.646	0.53813770	0.00000200	6000.35942	0.451	0.351	3.977	0.206	2.119
OGLE-LMC-RRLYR-00074	RRab	68.224620	-69.080417	18.610	19.297	0.687	0.79169510	0.00000630	6000.50321	0.157	0.270	5.137	0.000	-99.99
OGLE-LMC-RRLYR-00075	RRab	68.237535	-69.318528	18.925	19.635	0.710	0.60154450	0.00000260	6000.31519	0.507	0.374	4.245	0.246	2.326
OGLE-LMC-RRLYR-00076	RRab	68.238045	-70.247750	18.925	19.481	0.556	0.52458320	0.00000200	6000.44944	0.509	0.425	4.099	0.296	2.158
OGLE-LMC-RRLYR-00079	RRab	68.269710	-68.851083	18.947	19.536	0.589	0.56479150	0.00000140	6000.29195	0.485	0.433	4.270	0.308	2.505
OGLE-LMC-RRLYR-00080	RRab	68.285160	-70.343583	18.857	19.414	0.557	0.51746340	0.00000170	6000.34020	0.530	0.405	4.262	0.223	2.300
OGLE-LMC-RRLYR-00081	RRab	68.293995	-70.310083	18.795	19.375	0.580	0.60795910	0.00000080	6000.35846	0.762	0.511	4.275	0.350	2.585
OGLE-LMC-RRLYR-00082	RRab	68.295585	-68.427556	18.727	19.267	0.540	0.56544460	0.00000080	6000.00994	0.656	0.472	4.160	0.386	2.329
OGLE-LMC-RRLYR-00083	RRab	68.296995	-68.680694	18.850	19.410	0.560	0.50761900	0.00000050	6000.26894	0.796	0.455	4.113	0.358	2.050
OGLE-LMC-RRLYR-00084	RRab	68.297505	-70.021056	18.687	19.241	0.554	0.59769700	0.00000160	6000.13700	0.489	0.439	4.388	0.291	2.531
OGLE-LMC-RRLYR-00086	RRab	68.308755	-69.413944	18.721	19.296	0.575	0.56781200	0.00000210	6000.42667	0.469	0.325	4.129	0.163	1.611
OGLE-LMC-RRLYR-00087	RRab	68.318370	-68.043139	18.965	19.491	0.526	0.57451070	0.00000140	6000.19265	0.562	0.469	4.341	0.319	2.517
OGLE-LMC-RRLYR-00088	RRab	68.324205	-69.607333	19.048	-99.99	-99.99	0.50069260	0.00000070	6000.25601	0.606	0.455	4.835	0.000	-99.99
OGLE-LMC-RRLYR-00091	RRab	68.372340	-69.819000	19.005	19.537	0.532	0.53176590	0.00000060	6000.07628	0.707	0.450	4.202	0.398	2.235
OGLE-LMC-RRLYR-00093	RRab	68.389995	-68.166111	18.651	19.284	0.633	0.65027910	0.00000190	6000.43599	0.396	0.417	4.572	0.291	3.167
OGLE-LMC-RRLYR-00094	RRab	68.394630	-67.776056	18.726	19.215	0.489	0.52520050	0.00000310	6000.40008	0.404	0.411	4.040	0.257	2.089
OGLE-LMC-RRLYR-00098	RRab	68.433750	-68.521833	18.883	19.419	0.536	0.53998120	0.00000070	6000.42534	0.679	0.494	4.216	0.398	2.488
OGLE-LMC-RRLYR-00099	RRab	68.436660	-68.862667	18.839	19.415	0.576	0.55707610	0.00000060	6000.15293	0.660	0.536	4.273	0.371	2.469
OGLE-LMC-RRLYR-00101	RRab	68.442750	-68.966389	18.684	19.303	0.619	0.56894760	0.00000120	6000.17572	0.563	0.482	4.310	0.333	2.580
OGLE-LMC-RRLYR-00102	RRab	68.442960	-69.098500	18.814	19.419	0.605	0.52534870	0.00000460	6000.15328	0.354	0.241	4.354	0.118	2.595
OGLE-LMC-RRLYR-00103	RRab	68.448285	-69.952556	18.943	19.569	0.626	0.61817590	0.00000160	6000.23097	0.422	0.481	4.447	0.287	2.887
OGLE-LMC-RRLYR-00104	RRab	68.473035	-68.816583	18.602	19.288	0.686	0.76256230	0.00000480	6000.42936	0.192	0.258	4.543	0.000	-99.99
OGLE-LMC-RRLYR-00105	RRab	68.477535	-69.433944	18.640	19.290	0.650	0.64201870	0.00000170	6000.34657	0.539	0.391	4.379	0.300	2.629
OGLE-LMC-RRLYR-00107	RRab	68.490285	-69.248750	18.921	19.466	0.545	0.51052900	0.00000050	6000.18987	0.789	0.459	4.115	0.346	1.954
OGLE-LMC-RRLYR-00108	RRab	68.491965	-68.303750	18.842	19.508	0.666	0.61411330	0.00000270	6000.44033	0.372	0.539	4.658	0.204	3.411
OGLE-LMC-RRLYR-00109	RRab	68.506335	-68.892556	18.767	19.386	0.619	0.52330790	0.00000410	6000.50795	0.422	0.386	3.460	0.346	1.346
OGLE-LMC-RRLYR-00110	RRab	68.509995	-67.747833	18.648	-99.99	-99.99	0.62692560	0.00000480	6000.45944	0.336	0.440	4.506	0.225	3.109
OGLE-LMC-RRLYR-00111	RRab	68.515335	-68.173472	18.831	19.316	0.485	0.48448850	0.00000070	6000.23424	0.674	0.427	4.119	0.275	1.986
OGLE-LMC-RRLYR-00112	RRab	68.521755	-69.261667	18.970	19.556	0.586	0.58360280	0.00000110	6000.41896	0.574	0.493	4.263	0.359	2.601
OGLE-LMC-RRLYR-00113	RRab	68.522130	-69.415083	18.896	19.415	0.519	0.48980610	0.00000050	6000.45340	0.896	0.466	4.165	0.350	2.086
OGLE-LMC-RRLYR-00114	RRab	68.530005	-68.805361	18.835	19.499	0.664	0.61774670	0.00000390	6000.59903	0.217	0.357	4.427	0.165	2.517
OGLE-LMC-RRLYR-00115	RRab	68.548995	-68.983972	19.234	-99.99	-99.99	0.42826990	0.00000120	6000.10756	0.770	0.526	3.968	0.399	2.198
OGLE-LMC-RRLYR-00116	RRab	68.561370	-69.785222	18.813	19.454	0.641	0.64496070	0.00000290	6000.57973	0.244	0.358	4.581	0.160	3.552
OGLE-LMC-RRLYR-00118	RRab	68.579160	-69.846500	18.710	19.299	0.589	0.57587860	0.00000070	6000.53011	0.590	0.459	4.159	0.364	2.203
OGLE-LMC-RRLYR-00120	RRab	68.604420	-67.792583	18.861	19.413	0.552	0.59747210	0.00000120	6000.35360	0.489	0.502	4.510	0.327	2.810
OGLE-LMC-RRLYR-00121	RRab	68.604420	-69.135250	18.646	19.129	0.483	0.56523540	0.00000070	6000.37745	0.753	0.454	4.121	0.356	2.209
OGLE-LMC-RRLYR-00122	RRab	68.605545	-70.478000	18.912	19.582	0.670	0.60738880	0.00000140	6000.41626	0.501	0.446	4.458	0.373	2.827
OGLE-LMC-RRLYR-00123	RRab	68.612715	-67.994111	18.793	19.262	0.469	0.50059450	0.00000040	6000.44762	0.795	0.438	4.107	0.355	2.049
OGLE-LMC-RRLYR-00124	RRab	68.615505	-69.739833	18.615	19.246	0.631	0.70348820	0.00000180	6000.59584	0.485	0.488	4.675	0.285	3.254
OGLE-LMC-RRLYR-00125	RRab	68.616660	-67.564611	19.049	19.516	0.467	0.43455860	0.00000040	6000.28214	0.866	0.555	4.100	0.358	2.214
OGLE-LMC-RRLYR-00129	RRab	68.644785	-68.456028	18.951	19.573	0.622	0.57797180	0.00000570	6000.12541	0.122	0.224	4.819	0.000	-99.99
OGLE-LMC-RRLYR-00130	RRab	68.650920	-68.074278	18.762	19.305	0.543	0.56999470	0.00000130	6000.34030	0.627	0.430	4.226	0.357	2.222
OGLE-LMC-RRLYR-00131	RRab	68.661705	-70.021056	18.978	19.562	0.584	0.55210350	0.00000190	6000.54330	0.474	0.390	4.473	0.221	2.917
OGLE-LMC-RRLYR-00132	RRab	68.662080	-69.058167	18.844	19.496	0.652	0.62879730	0.00000230	6000.25471	0.377	0.432	4.592	0.258	3.094
OGLE-LMC-RRLYR-00133	RRab	68.664045	-69.793222	18.655	19.274	0.619	0.60305410	0.00000220	6000.46370	0.344	0.421	4.485	0.266	2.944
OGLE-LMC-RRLYR-00137	RRab	68.691285	-69.243556	18.758	19.474	0.716	0.59969480	0.00000080	6000.24844	0.733	0.466	4.269	0.371	2.302
OGLE-LMC-RRLYR-00138	RRab	68.691465	-67.351472	18.796	19.305	0.509	0.55356070	0.00000070	6000.33166	0.665	0.478	4.182	0.374	2.308
OGLE-LMC-RRLYR-00139	RRab	68.693580	-69.731056	18.734	19.382	0.648	0.61999060	0.00000080	6000.19797	0.642	0.499	4.227	0.398	2.523
OGLE-LMC-RRLYR-00142	RRab	68.701245	-68.955139	18.680	19.352	0.672	0.64191790	0.00000410	6000.50179	0.174	0.299	4.647	0.000	-99.99
OGLE-LMC-RRLYR-00144	RRab	68.710995	-69.522111	18.874	19.460	0.586	0.51226090	0.00000040	6000.01311	0.828	0.426	4.127	0.345	1.965
OGLE-LMC-RRLYR-00145	RRab	68.723415	-70.110611	18.821	19.447	0.626	0.61443880	0.00000130	6000.13652	0.431	0.397	4.452	0.283	2.738
OGLE-LMC-RRLYR-00146	RRab	68.737005	-69.366778	19.018	19.566	0.548	0.48138490	0.00000040	6000.42106	0.867	0.478	4.045	0.389	2.176
OGLE-LMC-RRLYR-00147	RRab	68.740785	-67.618028	18.763	19.405	0.642	0.64634570	0.00000310	6000.52549	0.218	0.291	4.624	0.158	3.406
OGLE-LMC-RRLYR-00148	RRab	68.743380	-70.352056	18.769	19.343	0.574	0.61456140	0.00000080	6000.41003	0.777	0.503	4.205	0.358	2.349
OGLE-LMC-RRLYR-00149	RRab	68.744910	-68.323472	18.477	19.085	0.608	0.76835210	0.00001170	6000.32104	0.089	0.000	-99.99	0.000	-99.99
OGLE-LMC-RRLYR-00151	RRab	68.753745	-67.254944	19.154	19.620	0.466	0.41215280	0.00000330	6000.39072	0.296	0.206	3.978	0.000	-99.99
OGLE-LMC-RRLYR-00152	RRab	68.755290	-70.596472	18.805	19.422	0.617	0.61834890	0.00000110	6000.15718	0.611	0.491	4.325	0.297	2.575
OGLE-LMC-RRLYR-00153	RRab	68.765835	-70.250778	18.961	19.512	0.551	0.52649190	0.00000080	6000.12130	0.695	0.539	4.194	0.321	2.500
OGLE-LMC-RRLYR-00154	RRab	68.775705	-68.522778	18.570	19.133	0.563	0.63886530	0.00000060	6000.43820	0.696	0.509	4.161	0.375	2.409
OGLE-LMC-RRLYR-00155	RRab	68.777910	-69.633167	18.801	19.398	0.597	0.54194870	0.00000260	6000.06831	0.471	0.417	4.222	0.261	2.246
OGLE-LMC-RRLYR-00156	RRab	68.777880	-67.270972	18.826	19.399	0.573	0.58263170	0.00000130	6000.01917	0.545	0.498	4.331	0.331	2.606
OGLE-LMC-RRLYR-00157	RRab	68.779785	-69.279028	18.958	19.569	0.611	0.58472360	0.00000130	6000.17524	0.582	0.476	4.336	0.363	2.521
OGLE-LMC-RRLYR-00158	RRab	68.783370	-70.688000	18.718	19.330	0.612	0.58889540	0.00000090	6000.32399	0.732	0.420	4.116	0.406	2.131
OGLE-LMC-RRLYR-00159	RRab	68.789130	-70.080944	18.843	19.481	0.638	0.65032410	0.00000240	6000.51320	0.359	0.431	4.525	0.261	3.145
OGLE-LMC-RRLYR-00161	RRab	68.801790	-67.184611	18.596	19.077	0.481	0.56686160	0.00000110	6000.30403	0.645	0.440	4.150	0.330	2.142
OGLE-LMC-RRLYR-00162	RRab	68.805585	-68.702167	18.863	19.431	0.568	0.57993150	0.00000080	6000.25541	0.525	0.440	4.275	0.393	2.695
OGLE-LMC-RRLYR-00163	RRab	68.806410	-70.158556	18.925	19.491	0.566	0.55482460	0.00000090	6000.46737	0.635	0.480	4.247	0.385	2.545
OGLE-LMC-RRLYR-00165	RRab	68.815995	-69.756083	18.939	19.613	0.674	0.54835320	0.00000140	6000.11399	0.524	0.458	4.152	0.345	2.131
OGLE-LMC-RRLYR-00167	RRab	68.821875	-69.442639	18.683	19.215	0.532	0.58201190	0.00000120	6000.38885	0.531	0.369	4.208	0.218	1.973
OGLE-LMC-RRLYR-00168	RRab	68.832210	-68.249944	19.064	19.554	0.490	0.46072230	0.00000050	6000.39729	0.782	0.514	4.260	0.378	2.400
OGLE-LMC-RRLYR-00169	RRab	68.845290	-68.311361	18.897	19.432	0.535	0.50945020	0.00000050	6000.26403	0.757	0.487	4.187	0.396	2.458
OGLE-LMC-RRLYR-00170	RRab	68.845755	-68.589667	18.891	19.391	0.500	0.50857930	0.00000080	6000.38244	0.693	0.415	4.174	0.293	2.163
OGLE-LMC-RRLYR-00171	RRab	68.854545	-69.645139	18.833	19.404	0.571	0.56233370	0.00000060	6000.20498	0.711	0.547	4.183	0.404	2.501
OGLE-LMC-RRLYR-00174	RRab	68.875035	-69.342722	18.772	19.351	0.579	0.55683450	0.00000090	6000.33150	0.589	0.458	4.227	0.358	2.398
OGLE-LMC-RRLYR-00175	RRab	68.875755	-70.126667	18.836	19.448	0.612	0.57443520	0.00000090	6000.43256	0.577	0.491	4.327	0.384	2.501
OGLE-LMC-RRLYR-00176	RRab	68.881710	-69.402000	18.747	19.423	0.676	0.70764110	0.00000270	6000.32564	0.398	0.459	4.562	0.226	3.149
OGLE-LMC-RRLYR-00177	RRab	68.888205	-68.207194	18.191	18.830	0.639	0.82468170	0.00000320	6000.39945	0.258	0.376	4.318	0.206	3.024
OGLE-LMC-RRLYR-00178	RRab	68.894085	-70.378278	18.863	19.486	0.623	0.61485980	0.00000150	6000.28840	0.383	0.332	4.298	0.214	2.547
OGLE-LMC-RRLYR-00179	RRab	68.904255	-68.906333	18.876	19.423	0.547	0.49965450	0.00000100	6000.11764	0.830	0.485	4.119	0.413	2.143
OGLE-LMC-RRLYR-00180	RRab	68.905125	-69.204139	18.923	19.556	0.633	0.52440300	0.00000090	6000.51403	0.706	0.445	4.312	0.330	2.142
OGLE-LMC-RRLYR-00182	RRab	68.921625	-69.081917	18.920	19.506	0.586	0.57679360	0.00000270	6000.28929	0.463	0.419	4.373	0.297	2.243
OGLE-LMC-RRLYR-00185	RRab	68.929335	-70.356083	18.959	19.637	0.678	0.61153590	0.00000470	6000.58072	0.439	0.424	4.546	0.369	2.836
OGLE-LMC-RRLYR-00186	RRab	68.939340	-70.630611	18.961	19.680	0.719	0.62753180	0.00000200	6000.36821	0.376	0.456	4.650	0.306	3.167
OGLE-LMC-RRLYR-00187	RRab	68.941665	-69.642139	18.793	19.320	0.527	0.57272690	0.00000120	6000.38336	0.720	0.442	4.171	0.327	2.226
OGLE-LMC-RRLYR-00188	RRab	68.945040	-69.006083	18.903	-99.99	-99.99	0.51433420	0.00000140	6000.46301	0.524	0.448	3.957	0.260	3.029
OGLE-LMC-RRLYR-00189	RRab	68.957340	-67.980806	18.597	19.201	0.604	0.68991650	0.00000270	6000.55358	0.261	0.383	4.535	0.202	3.027
OGLE-LMC-RRLYR-00191	RRab	68.964840	-68.922056	18.665	19.277	0.612	0.61351560	0.00000230	6000.45745	0.488	0.433	4.228	0.227	1.968
OGLE-LMC-RRLYR-00192	RRab	68.966085	-69.893750	18.954	19.522	0.568	0.50116770	0.00000060	6000.27750	0.783	0.515	4.104	0.359	2.229
OGLE-LMC-RRLYR-00193	RRab	68.966160	-67.801972	19.177	19.740	0.563	0.49182410	0.00000130	6000.18063	0.401	0.481	4.601	0.263	3.294
OGLE-LMC-RRLYR-00194	RRab	68.966460	-67.398028	18.707	19.259	0.552	0.53922080	0.00000050	6000.40343	0.727	0.474	4.147	0.385	2.272
OGLE-LMC-RRLYR-00195	RRab	68.967090	-67.064500	18.676	19.174	0.498	0.58353560	0.00000070	6000.50773	0.689	0.485	4.160	0.351	2.353
OGLE-LMC-RRLYR-00198	RRab	68.973210	-69.712278	18.852	19.380	0.528	0.54083880	0.00000220	6000.17065	0.506	0.385	4.053	0.210	2.128
OGLE-LMC-RRLYR-00199	RRab	68.973795	-69.113639	18.794	19.387	0.593	0.53413370	0.00000110	6000.40156	0.562	0.428	4.269	0.296	2.273
OGLE-LMC-RRLYR-00203	RRab	69.000210	-66.747083	18.758	-99.99	-99.99	0.49594070	0.00000400	6000.07890	0.505	0.168	4.348	0.067	3.976
OGLE-LMC-RRLYR-00206	RRab	69.009585	-67.380583	18.694	19.343	0.649	0.66885960	0.00000220	6000.50578	0.364	0.467	4.430	0.306	2.826
OGLE-LMC-RRLYR-00208	RRab	69.014580	-70.151861	18.839	19.418	0.579	0.58990310	0.00000080	6000.25221	0.719	0.492	4.157	0.373	2.267
OGLE-LMC-RRLYR-00209	RRab	69.020625	-68.962500	18.879	19.440	0.561	0.55155000	0.00000070	6000.28083	0.664	0.477	4.215	0.368	2.477
OGLE-LMC-RRLYR-00210	RRab	69.037500	-69.021806	18.896	19.465	0.569	0.54111390	0.00000060	6000.11657	0.667	0.507	4.150	0.376	2.274
OGLE-LMC-RRLYR-00211	RRab	69.038415	-70.729806	18.980	19.617	0.637	0.61031370	0.00000190	6000.40370	0.374	0.495	4.737	0.297	3.140
OGLE-LMC-RRLYR-00212	RRab	69.038625	-70.717472	18.855	19.530	0.675	0.61030790	0.00000090	6000.04333	0.540	0.506	4.435	0.352	2.868
OGLE-LMC-RRLYR-00214	RRab	69.052335	-68.185417	18.727	19.258	0.531	0.53926980	0.00000060	6000.28065	0.666	0.529	4.234	0.403	2.442
OGLE-LMC-RRLYR-00215	RRab	69.053625	-67.875139	18.679	19.224	0.545	0.58143580	0.00000050	6000.00085	0.738	0.404	4.176	0.363	2.035
OGLE-LMC-RRLYR-00216	RRab	69.057660	-68.593361	18.763	19.434	0.671	0.63486080	0.00000210	6000.55986	0.327	0.385	4.454	0.236	3.109
OGLE-LMC-RRLYR-00217	RRab	69.058380	-68.377250	18.703	-99.99	-99.99	0.69235600	0.00000160	6000.03005	0.414	0.451	4.813	0.000	-99.99
OGLE-LMC-RRLYR-00219	RRab	69.061755	-69.479806	18.593	19.243	0.650	0.71390440	0.00000240	6000.26948	0.340	0.397	4.695	0.210	3.217
OGLE-LMC-RRLYR-00220	RRab	69.071580	-67.881333	18.869	19.389	0.520	0.58977930	0.00000170	6000.23395	0.509	0.459	4.557	0.319	2.923
OGLE-LMC-RRLYR-00221	RRab	69.071745	-68.530361	18.948	19.486	0.538	0.56321010	0.00000070	6000.07104	0.688	0.465	4.202	0.364	2.471
OGLE-LMC-RRLYR-00222	RRab	69.072000	-69.157639	18.779	-99.99	-99.99	0.64790700	0.00000360	6000.38291	0.194	0.000	-99.99	0.713	0.628
OGLE-LMC-RRLYR-00223	RRab	69.075660	-66.642028	18.911	19.329	0.418	0.48505310	0.00000230	6000.14392	0.391	0.164	3.839	0.000	-99.99
OGLE-LMC-RRLYR-00224	RRab	69.081750	-68.009528	19.081	19.689	0.608	0.61916450	0.00000370	6000.13180	0.214	0.284	5.247	0.000	-99.99
OGLE-LMC-RRLYR-00225	RRab	69.083910	-66.680861	18.605	19.135	0.530	0.60585170	0.00000150	6000.23760	0.515	0.422	4.283	0.278	2.398
OGLE-LMC-RRLYR-00226	RRab	69.085665	-68.867556	19.136	-99.99	-99.99	0.50725640	0.00000330	6000.07469	0.732	0.543	4.518	0.352	2.458
