# Date:     2025-02-15 17:51:33
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-CEP-0353	F	73.726035	-67.226694	15.161	15.817	0.656	3.5672274	0.0000069	6002.80245	0.500	0.484	4.647	0.265	3.037
OGLE-LMC-CEP-0354	F	73.727460	-68.862306	15.804	16.484	0.680	2.2412003	0.0000064	6000.40803	0.457	0.418	4.368	0.216	2.572
OGLE-LMC-CEP-0355	F1	73.729215	-69.236944	16.233	17.162	0.929	2.2143844	0.0000185	6000.87776	0.183	0.193	4.497	0.047	2.901
OGLE-LMC-CEP-0356	F	73.730670	-70.256333	13.694	14.598	0.904	12.6841678	0.0000515	6002.75703	0.683	0.286	5.057	0.183	2.678
OGLE-LMC-CEP-0357	F	73.731870	-68.940306	15.137	15.908	0.771	4.3808522	0.0000171	6000.07439	0.408	0.409	4.827	0.172	3.389
OGLE-LMC-CEP-0358	1	73.734120	-68.704306	15.376	16.158	0.782	2.1052737	0.0000848	6000.39036	0.166	0.154	4.826	0.000	-99.99
OGLE-LMC-CEP-0359	F	73.752000	-67.244528	14.530	15.326	0.796	6.5464426	0.0000347	6001.25358	0.329	0.314	5.325	0.082	3.915
OGLE-LMC-CEP-0360	F	73.755165	-69.672250	13.394	14.390	0.996	22.0859031	0.0005268	6007.04540	0.552	0.264	4.861	0.177	3.139
OGLE-LMC-CEP-0361	F	73.755585	-70.180056	15.512	16.238	0.726	2.9203009	0.0000036	6002.24040	0.494	0.421	4.471	0.224	2.730
OGLE-LMC-CEP-0362	F	73.755960	-71.037389	15.452	16.187	0.735	3.0249176	0.0000049	6002.01348	0.460	0.462	4.531	0.250	2.826
OGLE-LMC-CEP-0363	1	73.756875	-69.340417	15.503	-99.99	-99.99	1.8926065	0.0000046	6001.76550	0.213	0.103	4.615	0.040	0.034
OGLE-LMC-CEP-0364	F	73.757715	-68.755944	15.808	16.534	0.726	2.3302673	0.0000027	6001.81206	0.551	0.470	4.373	0.248	2.592
OGLE-LMC-CEP-0365	F	73.758915	-67.999861	16.663	17.319	0.656	1.1606889	0.0000012	6000.80056	0.351	0.384	3.988	0.195	1.768
OGLE-LMC-CEP-0366	F	73.768245	-69.773000	13.657	-99.99	-99.99	9.5296099	0.0002988	6007.00322	0.487	0.329	4.831	0.151	2.757
OGLE-LMC-CEP-0367	F	73.776255	-67.475861	-99.99	13.770	-99.99	29.8224817	0.0025258	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0368	1	73.776870	-68.797583	15.213	15.857	0.644	2.3194480	0.0000059	6000.03507	0.255	0.102	4.575	0.000	-99.99
OGLE-LMC-CEP-0369	F	73.777620	-71.081639	15.340	16.115	0.775	3.3379760	0.0000057	6001.48700	0.487	0.409	4.528	0.212	2.801
OGLE-LMC-CEP-0370	F	73.778415	-69.074917	15.849	16.680	0.831	2.6798360	0.0000045	6001.46619	0.345	0.410	4.480	0.179	2.760
